,job_simp,seniority,Avg,Upper_salary,Lower_salary,Employer_provided,Glassdoor_estimate,Location,Rating,Size,Type of ownership,Industry,Sector,Revenue,Age,Python_yn,R_yn,spark,aws,excel,SQL,ML,NLP,Visualisation
0,analyst,na,7.0,9.0,5.0,0,0,Mumbai,3.9,501 to 1000 employees,Company - Private,IT Services,Information Technology,₹100 to ₹500 million (INR),20,1,0,0,0,1,1,0,0,1
1,analyst,senior,9.0,12.0,6.0,0,0,Pune,3.9,51 to 200 employees,Company - Private,Construction,"Construction, Repair & Maintenance",₹100 to ₹500 million (INR),14,0,0,0,0,1,0,0,0,0
2,analyst,na,8.0,10.0,6.0,1,0,Mumbai,2.9,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services,₹500 million to ₹1 billion (INR),66,0,0,0,0,1,1,0,0,1
3,analyst,na,8.0,10.0,6.0,1,0,Hyderabad,3.9,1 to 50 employees,Company - Private,IT Services,Information Technology,₹100 to ₹500 million (INR),11,1,0,0,0,0,0,1,0,1
4,analyst,na,11.0,14.0,8.0,1,0,Bengaluru,3.8,51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Less than ₹1 million (INR),12,1,0,0,1,0,1,1,0,0
5,analyst,na,9.5,12.0,7.0,0,1,Bengaluru,3.9,201 to 500 employees,Company - Private,Brokerage Services,Finance,₹100 to ₹500 million (INR),14,1,0,0,0,1,1,1,0,1
6,analyst,senior,9.5,12.0,7.0,0,1,Delhi NCR,3.5,501 to 1000 employees,Company - Private,Health Care Services & Hospitals,Health Care,₹100 to ₹500 million (INR),32,0,0,0,0,0,1,0,0,1
7,analyst,senior,9.0,12.0,6.0,0,1,Pune,5.0,201 to 500 employees,Company - Private,IT Services,Information Technology,₹10 to ₹25 million (INR),4,0,0,0,0,0,0,0,0,0
8,analyst,senior,4.5,5.0,4.0,1,0,Pune,3.7,1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,₹50 to ₹100 million (INR),167,1,0,0,0,1,1,0,0,1
9,analyst,na,18.0,23.0,13.0,1,0,Bengaluru,3.9,501 to 1000 employees,Company - Private,IT Services,Information Technology,₹50 to ₹100 million (INR),20,0,0,0,0,1,0,0,0,0
10,analyst,na,11.5,15.0,8.0,1,0,Bengaluru,4.2,201 to 500 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,₹100 to ₹500 million (INR),23,1,1,0,0,1,1,0,0,1
11,analyst,senior,8.5,11.0,6.0,0,1,Pune,4.4,201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,₹25 to ₹50 million (INR),12,1,0,0,0,1,1,1,0,1
12,analyst,na,7.0,9.0,5.0,1,0,Hyderabad,3.5,10000+ employees,Company - Public,Staffing & Outsourcing,Business Services,₹2 to ₹5 billion (INR),74,0,0,0,0,1,1,0,0,0
13,analyst,na,6.0,8.0,4.0,0,1,Delhi NCR,3.8,1 to 50 employees,Company - Private,Accounting,Accounting & Legal,Less than ₹1 million (INR),14,0,0,0,0,0,0,0,0,0
14,analyst,na,6.5,8.0,5.0,0,1,Pune,3.8,51 to 200 employees,Company - Private,Consulting,Business Services,₹10 to ₹25 million (INR),30,0,0,0,0,0,1,0,0,0
15,analyst,senior,9.0,12.0,6.0,0,1,Chennai,3.7,10000+ employees,Company - Public,Banks & Credit Unions,Finance,₹10+ billion (INR),118,0,0,0,0,0,0,0,0,0
16,analyst,senior,4.5,5.0,4.0,0,1,Pune,3.5,1001 to 5000 employees,Company - Private,Oil & Gas Services,"Oil, Gas, Energy & Utilities",₹500 million to ₹1 billion (INR),65,0,0,0,0,0,0,0,0,0
17,analyst,na,5.0,6.0,4.0,0,1,Delhi NCR,3.1,501 to 1000 employees,Nonprofit Organization,Insurance Carriers,Insurance,₹500 million to ₹1 billion (INR),26,0,0,0,0,1,1,0,0,0
18,analyst,na,12.0,15.0,9.0,0,1,Hyderabad,3.3,1 to 50 employees,Company - Private,IT Services,Information Technology,₹1 to ₹5 million (INR),11,0,0,0,0,1,0,0,0,0
